Discipline,Skill_Number,Skill_Description,Skill_Description_Improved
"Linguagens, Códigos e suas Tecnologias",1,Identificar as diferentes linguagens e seus recursos expressivos como elementos de caracterização dos sistemas de comunicação.,"Identificar as diferentes linguagens e seus recursos expressivos: Capacidade de reconhecer diversas formas de expressão (verbal, visual, musical etc.) e suas características distintas no contexto de comunicação."
"Linguagens, Códigos e suas Tecnologias",2,Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais.,Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação para resolver problemas sociais: Usar o entendimento sobre linguagens para abordar e propor soluções a questões sociais.
"Linguagens, Códigos e suas Tecnologias",3,"Relacionar informações geradas nos sistemas de comunicação e informação, considerando a função social desses sistemas.","Relacionar informações geradas nos sistemas de comunicação e informação: Estabelecer conexões entre diferentes informações apresentadas por variados meios comunicativos, considerando seu propósito e impacto na sociedade."
"Linguagens, Códigos e suas Tecnologias",4,Reconhecer posições críticas aos usos sociais que são feitos das linguagens e dos sistemas de comunicação e informação. ,Reconhecer posições críticas aos usos sociais das linguagens e sistemas de comunicação: Identificar e avaliar críticas sobre como linguagens e meios de comunicação são utilizados no contexto social.
"Linguagens, Códigos e suas Tecnologias",5,Associar vocábulos e expressões de um texto em LEM ao seu tema.,Associar vocábulos e expressões de um texto em LEM (Língua Estrangeira Moderna) ao seu tema: Relacionar palavras e frases de um texto em outra língua ao tópico central do qual tratam.
"Linguagens, Códigos e suas Tecnologias",6,"Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas.","Utilizar os conhecimentos da LEM para ampliar possibilidades de acesso a informações, tecnologias e culturas: Empregar proficiência em línguas estrangeiras para expandir horizontes culturais, tecnológicos e informativos."
"Linguagens, Códigos e suas Tecnologias",7,"Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social.","Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social: Associar o conteúdo, a gramática e o propósito de um texto em língua estrangeira ao seu contexto social e cultural."
"Linguagens, Códigos e suas Tecnologias",8,Reconhecer a importância da produção cultural em LEM como representação da diversidade cultural e linguística. ,"Reconhecer a importância da produção cultural em LEM: Valorizar manifestações culturais expressas em línguas estrangeiras, entendendo-as como representações da diversidade global."
"Linguagens, Códigos e suas Tecnologias",9,Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social.,Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas: Entender movimentos e gestos como respostas e expressões das demandas diárias e interações humanas.
"Linguagens, Códigos e suas Tecnologias",10,Reconhecer a necessidade de transformação de hábitos corporais em função das necessidades cinestésicas.,"Reconhecer a necessidade de transformação de hábitos corporais: Identificar e adaptar hábitos corporais com base em necessidades cinestésicas, como saúde e bem-estar."
"Linguagens, Códigos e suas Tecnologias",11,"Reconhecer a linguagem corporal como meio de interação social, considerando os limites de desempenho e as alternativas de adaptação para diferentes indivíduos. ","Reconhecer a linguagem corporal como meio de interação social: Perceber gestos e posturas como formas de comunicação e interação, adaptando-se para diferentes contextos e indivíduos."
"Linguagens, Códigos e suas Tecnologias",12,"Reconhecer diferentes funções da arte, do trabalho da produção dos artistas em seus meios culturais.","Reconhecer diferentes funções da arte e do trabalho dos artistas: Valorizar a arte não apenas esteticamente, mas também como meio de expressão, crítica e reflexão sobre a sociedade."
"Linguagens, Códigos e suas Tecnologias",13,"Analisar as diversas produções artísticas como meio de explicar diferentes culturas, padrões de beleza e preconceitos.",Analisar produções artísticas para explicar diferentes culturas: Utilizar arte como uma lente para entender e interpretar diversidades culturais e sociais.
"Linguagens, Códigos e suas Tecnologias",14,Reconhecer o valor da diversidade artística e das inter-relações de elementos que se apresentam nas manifestações de vários grupos sociais e étnicos. ,"Reconhecer o valor da diversidade artística: Valorizar as diversas manifestações artísticas, percebendo a riqueza que a variedade cultural e social proporciona."
"Linguagens, Códigos e suas Tecnologias",15,"Estabelecer relações entre o texto literário e o momento de sua produção, situando aspectos do contexto histórico, social e político.","Estabelecer relações entre o texto literário e o momento de sua produção: Conectar obras literárias aos seus contextos históricos e sociais, identificando influências e reflexos."
"Linguagens, Códigos e suas Tecnologias",16,Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário.,Relacionar informações sobre concepções artísticas ao texto literário: Associar técnicas e conceitos artísticos à interpretação e compreensão de textos literários.
