Year,Discipline,SG_AREA,TX_COR,CO_PROOF,Question_Number,Question_Text,Skill_Number
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 136 - Mathematics and its Technologies,"A machine in operation has its temperature T monitored by means of a graphic record, over time t. This machine has a piston whose speed V varies with the temperature T of the machine, according to the expression V = T – 4. After the machine works during a time interval of 10 hours, its operator analyzes the graphic record, presented in the figure, to assess the need for any adjustments, 2 knowing that the machine malfunctions when the piston speed is zero. t (h) 10 How many times did the piston speed go to zero during the 10 hours of operation? T (ºC) 4 2 0 -2 ABCDE 1 2 3 4 5 /",25
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 137 - Mathematics and its Technologies,"The World Series is the championship game of North American baseball. The two teams that reach this stage play, among themselves, up to seven matches. The first of those teams to complete four wins is declared champion. Assume that, in all matches, the probability of either team winning is always 1 . 2 What is the probability that the winning team is the team that won the first game of the World Series? ABCDE 35 64 40 64 42 64 44 64 52 64 /",28
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 138 - Mathematics and its Technologies,"The graph shows the total income and expenses of a company, expressed in million reais, over the months of a given year. The company makes a profit when the difference between income and expenses is positive and has a loss when this difference is negative. Jan. Feb. Mar. Apr. May Jun. Jul. Aug. Sep. Oct. Nov. Dec. Income Expenses What is the median, in million reais, of the profit figures calculated by the company 9 8 7 6 5 4 3 2 1 0 that year? A 1.5 BC 2.0 2.9 D 3.0 E 5.5 /",27
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 139 - Mathematics and its Technologies,"couple is renovating their kitchen at home and decided to buy a new refrigerator. Observing the plan of the new kitchen, drawn on a scale of 1: 50, they noticed that the space intended for the refrigerator was 3.8 cm high and 1.6 cm wide. They know that refrigerator manufacturers indicate that, for proper operation and easy handling when cleaning, these appliances must be placed in spaces that allow a distance of at least 10 cm from other furniture or walls, both at the top and at the sides. sides. The couple purchased a refrigerator that would fit in its designated space in the new kitchen, following the manufacturer's instructions. This refrigerator has a maximum height and width, in meters, equal to A 1.80 and 0.60, respectively. BC 1.80 and 0.70. 1.90 and 0.80. D 2.00 and 0.90. And 2.00 and 1.00. /",11
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 140 - Mathematics and its Technologies,"32 teams were invited to a football tournament, which were divided into 8 groups with 4 teams, and within a group, each team plays a single match against each of the other teams in their group. The first and second placed in each group go on to play the 8 matches of the next phase of the tournament, called the round of 16. The winners of the Round of 16 matches go on to play the 4 Quarter Finals matches. The winners of the quarterfinals play the 2 matches of the semifinals, and the winners advance to the grand finale, which defines the champion of the tournament. By the rules of the tournament, each team must have a rest period of at least 3 days between two games played by it, that is, if a team plays a game, for example, on a Sunday, it can only play the game following from Thursday of the same week. The minimum number of days required for this tournament to run is A 22. BC 25. 28. D 48. E 64. /",3
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 141 - Mathematics and its Technologies,"In a bingo game, the cards contain 16 squares arranged in rows and columns. Each square has a number printed, among the integers from 1 to 50, without repeating the number. In the first round, a number is chosen at random from a possible 50. In all rounds, the drawn number is discarded and does not participate in the drawings of the following rounds. If the player has the drawn number on his card, he marks it on the card. The player who first manages to fill in four squares that form a line, a column or a diagonal wins, according to the types of situations illustrated in Figure 1. The game starts and, in the first four rounds, the following numbers were drawn: 03, 27, 07 and 48. At the end of the fourth round, only Pedro had a card that contained these four drawn numbers, and all the other players were able to mark, at most, one of these numbers on their cards. Note in Figure 2 Pedro's card after the first four rounds. 03 48 12 27 49 11 22 05 29 50 19 45 33 23 38 07 Figure 2 The probability that Pedro wins the game in one of the next two rounds is ABCDE 1 46 + 1 45 1 46 1 46 1 46 1 46 2 46 45 8 46 45 43 46 45 49 46 45 /",28
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 142 - Mathematics and its Technologies,"A car manufacturer disclosed that it offers its customers more than 1,000 different car configurations, varying the model, engine, options and color of the vehicle. Currently, it offers 7 car models with 2 types of engines: 1.0 and 1.6. Regarding options, there are 3 possible choices: multimedia center, alloy wheels and leather seats, with the customer being able to choose to include one, two, three or none of the available options. To be faithful to the announcement made, the minimum number of colors that the automaker must make available to its customers is A 8. BC 9. 11. D 18. E 24. /",5
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 143 - Mathematics and its Technologies,"Among the various possible layouts for the cube, one of them is shown in Figure 1. Figure 1 In a cube, dark gray squares were painted on three of its faces, occupying a quarter of these faces, having these three squares have a vertex in common, as illustrated in Figure 2. Figure 2 The unfolding of the cube in Figure 2, according to the type of unfolding shown in Figure 1, is AB / C DE /",7
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 144 - Mathematics and its Technologies,"Each number that identifies a bank branch has four digits: N , N , N , N 4 1 3 2 plus a check digit N . 5 N1 N2 N3 N4 N5 All these digits are natural numbers belonging to the set {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}. To determine N , first multiply the first four digits of the branch number by 5, 4, 3 and 2, 5 respectively, add the results and obtain S = 5 N + 4 N + 3 N + 2 N . 4 1 3 2 Afterwards, find the remainder of S divided by 11, denoting this remainder by R. Thus, N is the difference 11 − R. 5 Consider a bank branch number whose first four digits are 0100. What is the check digit N of this bank branch? 5 ABCDE 0 6 7 8 9 /",1
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 145 - Mathematics and its Technologies,"The basic package of a smartphone game, which retails for R$50.00, contains 2,000 gems and 100,000 gold coins, which are items usable in that game. The company that commercializes this game decided to create a special package that will be sold at R$ 100.00 and that will differ from the basic package by having greater amounts of gems and gold coins. To stimulate sales of this new package, the company decided to insert 6,000 more gems in it, compared to what the customer would have if he chose to buy, with the same amount, two basic packages. The amount of gold coins that the company must add to the special package, in order to maintain the same proportion between the amounts of gems and gold coins contained in the basic package, is A 50 000. BC 100 000. 200 000. D 300 000. E 400 000. /",18
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 146 - Mathematics and its Technologies,"park has two different sized racing circuits. A runner trains in this park and, on the first day, starts his training by running 3 laps around the larger circuit and 2 laps around the smaller one, making a total of 1,800 m. Then, continuing his training, he runs 2 more laps around the bigger circuit and 1 lap around the smaller one, covering another 1 100 m. On the second day, he intends to run 5,000 m on the park's circuits, making an integer number of laps around them and so that the number of laps is as large as possible. The sum of the number of laps around the two circuits on the second day will be A 10. BC 13. 14. D 15. E 16. /",21
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 147 - Mathematics and its Technologies,"digital marketing team was hired to increase sales of a product offered on an e-commerce website. For this, it created an ad that, when the customer clicks on it, is directed to the product's sales page. This ad was posted on two social networks, A and B, and the following results were obtained: social network A: the ad was viewed by 3,000 people; 10% of them clicked on the ad and were redirected to the website; 3% of those who clicked on the ad bought the product. The investment made to publish the ad on this network was R$ 100.00; social network B: the ad was viewed by 1000 people; 30% of them clicked on the ad and were redirected to the website; 2% of those who clicked on the ad bought the product. The investment made to publish the ad on this network was R$ 200.00. From experience, the marketing team considers that the number of new people who will see the ad is directly proportional to the investment made, and that the number of people who will buy the product will also remain proportional to the number of people who will click on the ad. . The person responsible for the product then decided to invest another BRL 300.00 in each of the two social networks to publicize this ad and, in fact, obtained the expected proportional increase in the number of customers who bought this product. In order to classify the increase obtained in the quantity (Q) of buyers of this product, as a result of this second disclosure, in relation to the results observed in the first disclosure, the person responsible for the product adopted the following criterion: The increase in the number of buyers, as a result of this second disclosure, in relation to what was registered with the first disclosure, was classified as Q ≤ 60%: unsatisfactory; 60% < Q ≤ 100%: regular; 100% < Q ≤ 150%: good; 150% < Q ≤ 190%: very good; 190% < Q ≤ 200%: excellent. The unsatisfactory. Regular BC. good. D very good. It is excellent. /",17
